idno,litter_size,number_male,number_female,sire
5722,3,1,2,5802
5710,4,2,2,2620
5757,5,3,2,5414
5749,1,1,0,3770
5772,5,2,2,4365
5727,1,0,1,2888
5770,6,2,4,3770
5741,6,2,4,3153
5721,2,1,1,2888
5704,1,1,0,2888
5771,2,0,1,5637
5723,5,2,3,284
5774,4,0,2,2366
5769,6,3,3,3770
5713,5,3,2,1293
5752,5,3,2,2620
5736,5,2,3,3545
5744,5,4,1,284
5732,6,2,4,5461
5760,5,2,3,284
5729,4,2,2,5318
5733,5,2,3,5103
5763,3,2,1,5202
5731,2,1,1,2972
5764,2,1,1,3545
5719,5,2,3,409
5702,4,2,1,284
5728,5,1,4,284
5758,4,2,2,1229
5705,3,1,2,5854
5711,4,3,1,1293
5730,5,2,3,5414
5715,5,2,3,2553
5750,3,1,2,733
5714,4,2,2,3545
5712,2,1,1,165
5703,5,1,4,2295
5747,2,2,0,5414
5761,5,1,4,2620
5724,6,3,3,5414
5755,4,1,3,731
5726,5,2,3,1229
5754,3,2,1,5854
5743,5,3,2,5414
5768,6,3,3,5103
5745,4,3,1,2331
5707,7,4,3,3545
5746,3,2,1,3886
5734,4,2,2,2972
5748,6,3,3,5202
5765,4,2,2,4674
5720,5,3,2,3886
5773,3,2,0,5637
5756,5,4,1,3749
5740,5,4,1,537
5759,3,2,1,3886
5735,5,2,3,3886
5725,5,2,3,936
5709,6,2,4,5318
5767,5,2,3,5475
5716,1,0,1,284
5742,2,1,1,3886
5717,6,1,5,4927
5739,4,2,2,5985
5718,8,3,5,409
5737,6,2,4,2366
5738,4,1,3,4674
5751,4,1,3,587
884,7,5,2,5221
893,4,1,1,5969
888,5,3,2,571
891,5,4,1,571
886,2,0,2,411
890,5,3,2,4808
887,5,2,3,5969
885,5,3,2,571
889,6,3,3,571
892,5,2,3,5969
3678,12,5,7,4465
3685,6,3,2,1080
3682,7,1,3,1929
3696,9,1,4,5881
3684,10,6,3,1723
3686,2,0,1,4125
3683,8,4,3,4462
3676,8,4,4,5720
3677,3,0,3,5034
3679,2,1,1,62
3680,7,5,2,4095
3697,12,0,7,4669
3694,14,5,5,4394
3687,8,4,3,4341
3691,11,4,4,4377
3692,7,2,2,62
3675,4,2,2,4462
3698,14,5,3,4186
3693,11,3,4,4095
3695,10,1,5,4394
3689,10,4,3,4130
3688,5,1,3,2293
3674,2,2,0,4462
3699,17,6,3,1080
3690,10,5,3,4130
3681,2,0,2,4186
1007,6,3,3,3197
1147,7,3,3,1648
1216,16,4,2,3059
1207,10,3,3,1102
1172,11,4,6,783
900,7,4,2,1123
1081,6,4,2,5708
999,5,2,3,410
1115,5,1,4,4071
1014,5,4,1,2744
1072,3,2,1,4063
1128,7,2,4,3126
1204,9,3,3,875
947,6,4,2,4063
1078,8,4,4,1321
1057,1,1,0,790
1037,7,5,2,563
1195,9,4,3,1996
